id,name,code,user_type_id/id,chart_template_id/id,group_id/id,reconcile
account_common_101,Fons Social,101,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_101,False
account_common_102,Capital Social,102,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_102,False
account_common_108,Accions o participacions pròpies en situacions especials,108,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_108,False
account_common_109,Accions o participacions pròpies per reducció de capital,109,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_109,False
account_common_110,Prima d’emissió,110,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_110,False
account_common_112,Reserva legal,112,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_112,False
account_common_113,Reserves Estatutàries,113,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_113,False
account_common_114,Reserves Voluntàries,114,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_114,False
account_common_118,Aportacions de socis o propietaris,118,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_118,False
account_common_119,Altres reserves,119,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_119,False
account_common_131,Donacions i llegats de capital,131,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_131,False
account_common_141,Provisió per tributs,141,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_141,True
account_common_143,"Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat",143,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_143,True
account_common_145,Provisió per actuacions mediambientals,145,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_145,True
account_common_160,Deutes a llarg termini amb entitats de crèdit vinculades,160,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_160,False
account_common_161,"Proveïdors d’immobilitzat a llarg termini, parts vinculades",161,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_161,False
account_common_162,"Creditors per arrendament financer a llarg termini, parts vinculades",162,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_162,False
account_common_163,Altres deutes a llarg termini amb parts vinculades,163,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_163,False
account_common_170,Deutes a llarg termini amb entitats de crèdit,170,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_170,False
account_common_171,Deutes a llarg termini,171,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_171,False
account_common_173,Proveïdors d’immobilitzat a llarg termini,173,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_173,False
account_common_174,Creditors per arrendament financer a llarg termini,174,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_174,False
account_common_175,Efectes a pagar a llarg termini,175,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_175,False
account_common_177,Obligacions i bons,177,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_177,False
account_common_179,Deutes representats en altres valors negociables,179,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_179,False
account_common_180,Fiances rebudes a llarg termini,180,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_180,False
account_common_181,Bestretes rebudes per vendes o prestacions de serveis a llarg termini,181,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_181,False
account_common_185,Dipòsits rebuts a llarg termini,185,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_185,False
account_common_194,Capital emès pendent d’inscripció al Registre de Societats,194,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_194,False
account_common_200,Despeses d’establiment,200,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_200,False
account_common_201,Investigació,201,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_201,False
account_common_202,Desenvolupament,202,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_202,False
account_common_203,Concessions administratives,203,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_203,False
account_common_205,Fons de comerç,205,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_205,False
account_common_206,Drets de traspàs,206,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_206,False
account_common_207,Aplicacions informàtiques,207,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_207,False
account_common_208,Altre immobilitzat intangible,208,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_208,False
account_common_209,Bestretes per immobilitzat intangible,209,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_209,False
account_common_210,Terrenys i béns naturals,210,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_210,False
account_common_211,Construccions,211,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_211,False
account_common_212,Instal·lacions tècniques,212,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_212,False
account_common_213,Maquinària,213,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_213,False
account_common_214,Utillatge,214,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_214,False
account_common_215,Altres instal·lacions,215,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_215,False
account_common_216,Mobiliari,216,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_216,False
account_common_217,Equips per a processos d’informació,217,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_217,False
account_common_218,Elements de transport,218,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_218,False
account_common_219,Altre immobilitzat tangible,219,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_219,False
account_common_220,Inversions en terrenys i béns naturals,220,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_220,False
account_common_221,Inversions en construccions,221,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_221,False
account_common_230,Adaptació de terrenys i béns naturals,230,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_230,False
account_common_231,Construccions en curs,231,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_231,False
account_common_232,Instal·lacions tècniques en muntatge,232,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_232,False
account_common_233,Maquinària en muntatge,233,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_233,False
account_common_237,Equips per processos d’informació en muntatge,237,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_237,False
account_common_238,Altre immobilitzat tangible en curs,238,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_238,False
account_common_239,Bestretes per immobilitzat tangible,239,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_239,False
account_common_241,Valors representatius de deute a llarg termini de parts vinculades,241,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_241,False
account_common_242,Crèdits a llarg termini a parts vinculades,242,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_242,False
account_common_250,Inversions financeres a llarg termini en instruments de patrimoni,250,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_250,False
account_common_251,Valors representatius de deute a llarg termini,251,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_251,False
account_common_252,Crèdits a llarg termini,252,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_252,False
account_common_253,Crèdits a llarg termini per alienació d’immobilitzat,253,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_253,False
account_common_254,Crèdits a llarg termini al personal,254,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_254,False
account_common_258,Imposicions a llarg termini,258,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_258,False
account_common_260,Fiances constituïdes a llarg termini,260,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_260,False
account_common_265,Dipòsits constituïts a llarg termini,265,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_265,False
account_common_280,Amortització acumulada de l’immobilitzat intangible,280,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_280,False
account_common_281,Amortització acumulada de l’immobilitzat tangible,281,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_281,False
account_common_282,Amortització acumulada de les inversions immobiliàries,282,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_282,False
account_common_290,Deteriorament de valor de l’immobilitzat intangible,290,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_290,False
account_common_291,Deteriorament de valor de l’immobilitzat tangible,291,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_291,False
account_common_292,Deteriorament de valor de les inversions immobiliàries,292,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_292,False
account_common_293,Deteriorament de valor de participacions a llarg termini en parts vinculades,293,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_293,False
account_common_294,Deteriorament de valor de valors representatius de deute a llarg termini de parts vinculades,294,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_294,False
account_common_295,Deteriorament de valor de crèdits a llarg termini a parts vinculades,295,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_295,False
account_common_296,Deteriorament de valor de participacions en el patrimoni net a llarg termini,296,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_296,False
account_common_297,Deteriorament de valor de valors representatius de deute a llarg termini,297,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_297,False
account_common_298,Deteriorament de valor de crèdits a llarg termini,298,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_298,False
account_common_300,Mercaderies A,300,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_300,False
account_common_301,Mercaderies B,301,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_301,False
account_common_310,Matèries primeres A,310,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_310,False
account_common_311,Matèries primeres B,311,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_311,False
account_common_320,Elements i conjunts incorporables,320,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_320,False
account_common_321,Combustibles,321,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_321,False
account_common_322,Recanvis,322,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_322,False
account_common_325,Materials diversos,325,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_325,False
account_common_326,Embalatges,326,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_326,False
account_common_327,Envasos,327,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_327,False
account_common_328,Material d’oficina,328,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_328,False
account_common_330,Productes en curs A,330,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_330,False
account_common_331,Productes en curs B,331,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_331,False
account_common_340,Productes semiacabats A,340,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_340,False
account_common_341,Productes semiacabats B,341,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_341,False
account_common_350,Productes acabats A,350,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_350,False
account_common_351,Productes acabats B,351,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_351,False
account_common_360,Subproductes A,360,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_360,False
account_common_361,Subproductes B,361,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_361,False
account_common_365,Residus A,365,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_365,False
account_common_366,Residus B,366,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_366,False
account_common_368,Materials recuperats A,368,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_368,False
account_common_369,Materials recuperats B,369,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_369,False
account_common_390,Deteriorament de valor de les mercaderies,390,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_390,False
account_common_391,Deteriorament de valor de les matèries primeres,391,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_391,False
account_common_392,Deteriorament de valor d’altres aprovisionaments,392,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_392,False
account_common_393,Deteriorament de valor dels productes en curs,393,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_393,False
account_common_394,Deteriorament de valor dels productes semiacabats,394,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_394,False
account_common_395,Deteriorament de valors dels productes acabats,395,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_395,False
account_common_396,"Deteriorament de valor dels subproductes, residus i materials recuperats",396,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_396,False
account_common_400,Proveïdors,400,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_400,True
account_common_401,"Proveïdors, efectes comercials a pagar",401,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_401,True
account_common_403,"Proveïdors, empreses del grup",403,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_403,True
account_common_404,"Proveïdors, empreses associades",404,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_404,True
account_common_405,"Proveïdors, altres parts vinculades",405,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_405,True
account_common_406,Envasos i embalatges a retornar a proveïdors,406,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_406,True
account_common_407,Bestretes a proveïdors,407,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_407,True
account_common_410,Creditors per prestacions de serveis,410,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_410,True
account_common_411,"Creditors, efectes comercials a pagar",411,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_411,True
account_common_430,Clients,430,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_430,True
account_common_431,"Clients, efectes comercials a cobrar",431,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_431,True
account_common_432,"Clients, operacions de “factoring”",432,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_432,True
account_common_433,"Clients, empreses del grup",433,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_433,True
account_common_434,"Clients, empreses associades",434,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_434,True
account_common_435,"Clients, altres empreses vinculades",435,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_435,True
account_common_436,Clients de cobrament dubtós,436,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_436,True
account_common_437,Envasos i embalatges a retornar per clients,437,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_437,True
account_common_438,Bestretes de clients,438,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_438,True
account_common_440,Deutors,440,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_440,True
account_common_441,"Deutors, efectes comercials a cobrar",441,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_441,True
account_common_446,Deutors de cobrament dubtós,446,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_446,True
account_common_460,Bestretes de remuneracions,460,account.data_account_type_receivable,l10n_ad.account_chart_template_common,l10n_ad.account_group_460,True
account_common_465,Remuneracions pendents de pagament,465,account.data_account_type_payable,l10n_ad.account_chart_template_common,l10n_ad.account_group_465,True
account_common_470,"Administracions públiques, deutor",4700,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_470,True
account_common_472,"Administracions públiques, import indirecte suportat",472,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_472,False
account_common_473,"Administracions públiques, retencions i pagaments a compte per ISI",473,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_473,True
account_common_475,"Administracions públiques, creditor",4750,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_475,True
account_common_476,"Caixa Andorrana de Seguretat Social, creditors",476,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_476,False
account_common_477,"Administracions públiques, impost indirecte repercutit",477,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_477,False
account_common_480,Despeses anticipades,480,account.data_account_type_current_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_480,False
account_common_485,Ingressos anticipats,485,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_485,False
account_common_493,Deteriorament de valor de crèdits per operacions comercials amb parts vinculades,493,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_493,True
account_common_499,Provisions per operacions comercials,499,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_499,True
account_common_500,Obligacions i bons a curt termini,500,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_500,False
account_common_505,Deutes representats en altres valors negociables a curt termini,505,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_505,False
account_common_506,Interessos a curt termini d’emprèstits i altres emissions anàlogues,506,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_506,False
